# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 114  of event 'cpu-clock:u'
# Event count (approx.): 2326530582
#
# Overhead; Symbol; IPC   [IPC Coverage]
3.51%; [.] 0x00000000000009d5; -      -
2.63%; [.] QV4::Runtime::Mul::call(QV4::Value const&, QV4::Value const&); -      -
2.63%; [.] __memset_avx2_unaligned_erms; -      -
2.63%; [.] __pthread_mutex_lock_full; -      -
2.63%; [.] g_main_context_check_unlocked.lto_priv.0; -      -
2.63%; [.] 0x0000000000a89842; -      -
1.75%; [.] QDir::absoluteFilePath(QString const&) const; -      -
1.75%; [.] QEasingCurve::valueForProgress(double) const; -      -
1.75%; [.] QQmlVMEMetaObject::metaCall(QObject*, QMetaObject::Call, int, void**); -      -
1.75%; [.] QV4::doCall(QV4::Function*, QV4::Value const*, QV4::Value const*, int, QV4::ExecutionContext*); -      -
1.75%; [.] 0x0000000000a89857; -      -
0.88%; [.] Process::onFinished(int, QProcess::ExitStatus); -      -
0.88%; [.] QAbstractAnimationJob::setCurrentTime(int); -      -
0.88%; [.] QArrayData::allocate2(QArrayData**, long long, QArrayData::AllocationOption); -      -
0.88%; [.] QByteArray::operator=(QByteArray const&); -      -
0.88%; [.] QEvent::QEvent(QEvent::Type); -      -
0.88%; [.] QFileSystemEngine::fillMetaData(QFileSystemEntry const&, QFileSystemMetaData&, QFlags<QFileSystemMetaData::MetaDataFlag>); -      -
0.88%; [.] QInternal::activateCallbacks(QInternal::Callback, void**); -      -
0.88%; [.] QMetaObject::activate(QObject*, QMetaObject const*, int, void**); -      -
0.88%; [.] QMetaObject::className() const; -      -
0.88%; [.] QObject::event(QEvent*); -      -
0.88%; [.] QObject::eventFilter(QObject*, QEvent*)@plt; -      -
0.88%; [.] QObjectCompatProperty<QQuickItemPrivate, double, &QQuickItemPrivate::_qt_property_width_offset, &QQuickItemPrivate::setWidth, &QQuickItemPrivate::widthChanged, decltype(nullptr)>::notify(); -      -
0.88%; [.] QPen::operator=(QPen const&); -      -
0.88%; [.] QPlatformWindow::deliverUpdateRequest(); -      -
0.88%; [.] QQmlAbstractBinding::getPropertyData(QQmlPropertyData const**, QQmlPropertyData*) const; -      -
0.88%; [.] QQmlBinding::slowWrite(QQmlPropertyData const&, QQmlPropertyData const&, QV4::Value const&, bool, QFlags<QQmlPropertyData::WriteFlag>); -      -
0.88%; [.] QQmlBinding::update(QFlags<QQmlPropertyData::WriteFlag>); -      -
0.88%; [.] QQmlMetaType::metaObjectForValueType(QMetaType); -      -
