# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 114  of event 'cpu-clock:u'
# Event count (approx.): 2326530582
#
# Overhead; Command; Shared Object
24.56%; qs; libnvidia-eglcore.so.610.57.04
22.81%; qs; libQt6Qml.so.6.11.1
12.28%; qs; libQt6Core.so.6.11.1
11.40%; qs; libc.so.6
7.89%; qs; libQt6Quick.so.6.11.1
4.39%; qs; libQt6Gui.so.6.11.1
3.51%; qs; [vdso]
3.51%; qs; libglib-2.0.so.0.8800.3
2.63%; qs; libEGL_nvidia.so.610.57.04
1.75%; qs; libjemalloc.so.2
1.75%; qs; quickshell
0.88%; qs; libKF6SyntaxHighlighting.so.6.29.0
0.88%; qs; libQt6WaylandClient.so.6.11.1
0.88%; qs; libgio-2.0.so.0.8800.3
0.88%; qs; memfd:JITCode:QtQml (deleted)


#
# (Tip: To not record events from perf itself add --exclude-perf)
#
